OBJECTID,Join_Count,TARGET_FID,Water_Body_Key,Water_Body_Name,FMU_Code,Survey_Number,Year,Survey_Purpose,New_Key,Located_Town,Located_Range,Located_Town_D,Located_Range_D,Located_Section,primary_county_name,FirstOfSurvey_Begin_Timestamp,LastOfEnding_Effort_Timestamp,LONG_DD,LAT_DD,IHDLKID,ComID,Permanent_,FDate,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Lake_Area_,LakeConnec,HU4_ZoneID,HU4_Name,HU6_ZoneID,HU6_Name,HU8_ZoneID,HU8_Name,HU12_ZoneI,HU12_Name,EDU_ZoneID,EDU_Name,COUNTY_Zon,COUNTY_Nam,State_Name,STATE_Zone,HU4,HU6,HU12,HU8,STATE,lagoslakei
11,1,11,26N07E0401,Jewell Lake,MI-MNH,3758,2002,Status & Trends,1-99,26N,07E,26,7,4,Alcona,2002-06-03,2002-08-15,-83.60676,44.68055,83976291,0,83976291,2003-05-21,00629275,Jewell Lake,0.747,0,04070007001367,390,39004,74.71014267,Headwater,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_207,Au Sable,HU12_13738,West Branch Pine River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700070603,04070007,MI,3759
12,1,12,27N13W2601,Lake Ann,MI-MCM,5371,2004,Status & Trends,10-111,27N,13W,27,-13,26,Benzie,2004-06-14,2004-06-29,-85.84982,44.71554,129225129,0,129225129,2009-09-10,00620136,Lake Ann,2.026,242,04060104003357,390,39009,202.6459155,DR_LakeStream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_203,Betsie-Platte,HU12_13600,Bronson Lake-Platte River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_369,Benzie County,Michigan,State_3,0406,040601,040601040202,04060104,MI,834
13,1,13,25N15W1901,Upper Herring Lake,MI-MCM,5373,2004,Status & Trends,10-19,25N,16W,25,-16,13,Benzie,2004-05-24,2004-06-30,-86.18176,44.56193,129224203,0,129224203,2004-11-07,01615403,Upper Herring Lake,2.319,180,04060104000588,390,39009,231.8730593,DR_Stream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_203,Betsie-Platte,HU12_19968,Lower Herring Lake-Frontal Lake Michigan,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_369,Benzie County,Michigan,State_3,0406,040601,040601040406,04060104,MI,2636
14,1,14,25N16W1401,Lower Herring Lake,MI-MCM,4744,2004,Status & Trends,10-24,25N,16W,25,-16,14,Benzie,2004-05-24,2004-07-01,-86.21482,44.56471,129224200,0,129224200,2008-04-21,00631170,Lower Herring Lake,1.806,177,04060104003356,390,39009,180.6476179,DR_LakeStream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_203,Betsie-Platte,HU12_19968,Lower Herring Lake-Frontal Lake Michigan,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_369,Benzie County,Michigan,State_3,0406,040601,040601040406,04060104,MI,2734
15,1,15,27N15W3301,Platte Lake,MI-MCM,8445,2010,Status & Trends,10-39,27N,15W,27,-15,33,Benzie,2010-05-24,2010-05-27,-86.09232,44.6911,129223861,0,129223861,2004-11-07,00635084,Platte Lake,10.252,178,04060104000558,390,39009,1025.222497,DR_LakeStream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_203,Betsie-Platte,HU12_13604,Platte Lake-Platee River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_369,Benzie County,Michigan,State_3,0406,040601,040601040206,04060104,MI,1627
16,1,16,27N13W0703,Pearl Lake,MI-MCM,10987,2016,Status & Trends,10-66,27N,13W,27,-13,7,Benzie,2016-06-20,2016-06-27,-85.91926,44.76304,129224113,0,129224113,2004-11-07,00634528,Pearl Lake,1.226,248,04060104000481,390,39009,122.5798732,Isolated,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_203,Betsie-Platte,HU12_13601,Pearl Lake,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_369,Benzie County,Michigan,State_3,0406,040601,040601040203,04060104,MI,2902
17,1,17,27N13W0601,Gerry Lake,MI-MCM,7232,2007,Status & Trends,10-77,27N,13W,27,-13,6,Benzie,2007-06-12,2007-06-14,-85.93593,44.77527,129224103,0,129224103,2004-11-07,01618840,Garey Lake,0.119,254,04060104000468,390,39009,11.89432552,DR_Stream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_203,Betsie-Platte,HU12_13601,Pearl Lake,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_369,Benzie County,Michigan,State_3,0406,040601,040601040203,04060104,MI,18666
18,1,18,11039,Herendeene Lake,MI-MCM,5372,2004,Status & Trends,10-95,27N,13W,27,-13,15,Benzie,2004-06-14,2004-06-17,-85.86149,44.74054,129225118,0,129225118,2004-11-07,00628128,Herendeene Lake,0.157,257,04060104000498,390,39009,15.72410934,DR_Stream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_203,Betsie-Platte,HU12_13600,Bronson Lake-Platte River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_369,Benzie County,Michigan,State_3,0406,040601,040601040202,04060104,MI,548
19,1,19,08S06W1801,Lake Lavine,MI-MSM,10029,2013,Status & Trends,12-121,08S,06W,-8,-6,18,Branch,2013-05-06,2013-05-09,-85.03759,41.76804,155637885,0,155637885,2007-05-13,00630201,Lake Lavine,0.363,299.3,04050001004922,390,39009,36.34758152,DR_Stream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_184,St. Joseph,HU12_6499,Headwaters Prairie River,EDU_62,Southeast Lake Michigan,County_371,Branch County,Michigan,State_3,0405,040500,040500010701,04050001,MI,3070
20,1,20,10485,Craig Lake,MI-MSM,9363,2012,Status & Trends,12-21,05S,06W,-5,-6,29,Branch,2012-06-04,2012-08-23,-85.0287,42.00416,155636452,0,155636452,2007-05-13,00632724,Morrison Lake,0.466,0,04050001011462,390,39004,46.60820452,DR_LakeStream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_184,St. Joseph,HU12_6606,Hodunk Pond-Coldwater River,EDU_62,Southeast Lake Michigan,County_371,Branch County,Michigan,State_3,0405,040500,040500010111,04050001,MI,1293
21,1,21,11711,Morrison Lake,MI-MSM,9309,2012,Status & Trends,12-23,06S,06W,-6,-6,5,Branch,2012-06-04,2012-06-07,-85.02926,41.98832,155636544,0,155636544,2007-05-13,00632724,Morrison Lake,1.157,281,04050001011462,390,39009,115.7469896,DR_LakeStream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_184,St. Joseph,HU12_6606,Hodunk Pond-Coldwater River,EDU_62,Southeast Lake Michigan,County_371,Branch County,Michigan,State_3,0405,040500,040500010111,04050001,MI,2180
22,1,22,07S05W0501,Archer Lake,MI-MSM,8893,2011,Status & Trends,12-76,07S,05W,-7,-5,5,Branch,2011-05-09,2011-05-18,-84.92259,41.88249,155637174,0,155637174,2007-05-13,00620657,Lake Bartholomew,0.634,300.2,04050001011806,390,39009,63.42834252,DR_LakeStream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_184,St. Joseph,HU12_6600,Marble Lake,EDU_62,Southeast Lake Michigan,County_371,Branch County,Michigan,State_3,0405,040500,040500010105,04050001,MI,2130
23,1,23,07S06W2301,East Long Lake,MI-MSM,8897,2011,Status & Trends,12-86,07S,06W,-7,-6,23,Branch,2011-05-09,2011-05-19,-84.96676,41.84999,155637334,0,155637334,2007-05-13,00630917,East Long Lake,0.486,300.2,04050001004753,390,39009,48.62446258,DR_LakeStream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_184,St. Joseph,HU12_6599,Coldwater Lake,EDU_62,Southeast Lake Michigan,County_371,Branch County,Michigan,State_3,0405,040500,040500010104,04050001,MI,895
24,1,24,07S06W3401,Coldwater Lake,MI-MSM,10192,2014,Status & Trends,12-90,07S,06W,-7,-6,34,Branch,2014-05-19,2014-05-29,-84.97565,41.82304,155637570,0,155637570,2007-05-13,00623569,Coldwater Lake,6.395,300.2,04050001004766,390,39009,639.4615351,DR_LakeStream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_184,St. Joseph,HU12_6599,Coldwater Lake,EDU_62,Southeast Lake Michigan,County_371,Branch County,Michigan,State_3,0405,040500,040500010104,04050001,MI,3081
25,1,25,12231,Prairie Lake,MI-MSM,10095,2013,Status & Trends,13-23,01S,04W,-1,-4,33,Calhoun,2013-05-20,2013-08-20,-84.79565,42.34554,152518193,0,152518193,2007-02-10,00635393,Prairie Lake,0.359,0,04050003002107,390,39004,35.88262918,DR_LakeStream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_190,Kalamazoo,HU12_12453,North Branch Rice Creek,EDU_62,Southeast Lake Michigan,County_372,Calhoun County,Michigan,State_3,0405,040500,040500030403,04050003,MI,690
26,1,26,10159,Belas Lake,MI-MSM,6249,2006,Status & Trends,14-154,06S,14W,-6,-14,24,Cass,2006-05-15,2006-06-07,-85.88065,41.93888,155637285,0,155637285,2007-05-13,00621022,Belas Lake,0.209,269.4,04050001004714,390,39009,20.92686054,DR_Stream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_184,St. Joseph,HU12_6515,Headwaters Christiana Creek,EDU_62,Southeast Lake Michigan,County_373,Cass County,Michigan,State_3,0405,040500,040500011401,04050001,MI,1400
27,1,27,05S13W07,Finch Lake,MI-MSM,3407,2002,Status & Trends,14-8,05S,13W,-5,-13,7,Cass,2002-05-15,2002-06-26,-85.88204,42.04832,155636555,0,155636555,2007-05-13,00626032,Fish Lake,0.463,263.3,04050001011512,390,39009,46.30651386,DR_LakeStream,HU4_37,Southeastern Lake Michigan,HU6_50,Southeastern Lake Michigan,HU8_184,St. Joseph,HU12_6520,Bunker Lake-Dowagiac Creek,EDU_62,Southeast Lake Michigan,County_373,Cass County,Michigan,State_3,0405,040500,040500012303,04050001,MI,54340
28,1,28,10612,Deer Lake,MI-MCM,3496,2003,Status & Trends,15-15,32N,05W,32,-5,18,Charlevoix,2003-05-12,2003-07-22,-84.9776,45.16832,155417344,0,155417344,2007-05-11,00624480,Deer Lake,1.878,0,04060105001116,390,39004,187.8019767,DR_Stream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_204,Boardman-Charlevoix,HU12_13621,Jordan River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_343,Charlevoix County,Michigan,State_3,0406,040601,040601050204,04060105,MI,1338
29,1,29,34N08W2601,Lake Charlevoix,MI-MCM,6296,2006,Status & Trends,15-21,34N,08W,34,-8,26,Charlevoix,2006-06-06,2006-09-16,-85.13343,45.26665,155417357,0,155417357,2007-05-11,01618895,Lake Charlevoix,70.161,0,04060105003253,390,39004,7016.129136,DR_LakeStream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_204,Boardman-Charlevoix,HU12_13624,Loeb Creek-Lake Charlevoix,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_343,Charlevoix County,Michigan,State_3,0406,040601,040601050207,04060105,MI,2714
30,1,30,33N05W1801,Walloon Lake,MI-MCM,11081,2016,Status & Trends,15-25,33N,05W,33,-5,18,Charlevoix,2016-06-13,2016-06-28,-85.0001,45.27499,155417299,0,155417299,2007-05-11,01618952,Walloon Lake,18.534,0,04060105001086,390,39004,1853.422124,DR_Stream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_204,Boardman-Charlevoix,HU12_13616,Walloon Lake-Bear River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_347,Emmet County,Michigan,State_3,0406,040601,040601050102,04060105,MI,2851
31,1,31,12641,Susan Lake,MI-MCM,9252,2012,Status & Trends,15-56,34N,07W,34,-7,20,Charlevoix,2012-06-18,2012-06-21,-85.18121,45.3261,155417287,0,155417287,2007-05-11,00639119,Susan Lake,0.509,0,04060105001082,390,39004,50.86886944,DR_Stream,HU4_30,Northeastern Lake Michigan-Lake Michigan,HU6_41,Northeastern Lake Michigan,HU8_204,Boardman-Charlevoix,HU12_13642,Susan Creek-Frontal Lake Michigan,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_343,Charlevoix County,Michigan,State_3,0406,040601,040601050607,04060105,MI,1358
32,1,32,35N02W0701,Mullett Lake,MI-MNH,11374,2018,Status & Trends,16-192,35N,02W,35,-2,7,Cheboygan,2017-05-30,2018-01-23,-84.51676,45.5361,155411040,0,155411040,2007-05-11,00633106,Mullett Lake,67.623,0,04070004000515,390,39004,6762.281536,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_206,Cheboygan,HU12_20079,Mullet Lake,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_374,Cheboygan County,Michigan,State_3,0407,040700,040700040403,04070004,MI,3791
33,1,33,35N03W2401,Burt Lake,MI-MNH,10630,2015,Status & Trends,16-193,35N,03W,35,-3,24,Cheboygan,2015-06-01,2015-06-10,-84.66676,45.46666,155411074,0,155411074,2007-05-11,01618893,Burt Lake,70.434,0,04070004000666,390,39004,7043.361325,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_206,Cheboygan,HU12_20078,Hasler Creek-Burt Lake,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_374,Cheboygan County,Michigan,State_3,0407,040700,040700040209,04070004,MI,1058
34,1,34,37N01E3401,"Twin Lakes 2, 3, 4, 5",MI-MNH,9672,2013,Status & Trends,16-194,,,,,,Cheboygan,2013-06-10,2013-06-24,-84.28732,45.53749,155408451,0,155408451,2007-05-11,01615268,Twin Lakes,0.815,0,04070005000307,390,39004,81.52473596,Headwater,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_209,Black,HU12_20103,Owens Creek-Black River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_374,Cheboygan County,Michigan,State_3,0407,040700,040700050303,04070005,MI,72800
35,1,35,36N01W1201,Long Lake,MI-MNH,4742,2004,Status & Trends,16-205,36N,01W,36,-1,12,Cheboygan,2004-05-10,2004-05-14,-84.39871,45.53471,155408453,0,155408453,2007-05-11,00630949,Long Lake,1.535,0,04070005000310,390,39004,153.46807,Headwater,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_209,Black,HU12_20103,Owens Creek-Black River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_374,Cheboygan County,Michigan,State_3,0407,040700,040700050303,04070005,MI,617
36,1,36,11347,Lancaster Lake,MI-MNH,5500,2005,Status & Trends,16-250,37N,03W,37,-3,8,Cheboygan,2005-05-09,2005-07-20,-84.70788,45.62193,155410950,0,155410950,2007-05-11,01618916,Lancaster Lake,0.205,0,04070004000664,390,39004,20.52354874,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_206,Cheboygan,HU12_13840,Douglas Lake,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_374,Cheboygan County,Michigan,State_3,0407,040700,040700040205,04070004,MI,2519
37,1,37,37N03W1901,Douglas Lake,MI-MNH,10312,2014,Status & Trends,16-252,37N,03W,37,-3,19,Cheboygan,2014-06-02,2014-06-25,-84.69704,45.5811,155410978,0,155410978,2007-05-11,01618899,Douglas Lake,15.09,0,04070004000512,390,39004,1509.011967,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_206,Cheboygan,HU12_13840,Douglas Lake,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_374,Cheboygan County,Michigan,State_3,0407,040700,040700040205,04070004,MI,6388
38,1,38,33N03W1101,Silver Lake,MI-MNH,8475,2010,Status & Trends,16-82,33N,03W,33,-3,11,Cheboygan,2010-05-24,2010-08-18,-84.63288,45.26943,155411126,0,155411126,2007-05-11,00637950,Silver Lake,0.274,0,04070004000562,390,39004,27.36933523,Isolated,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_206,Cheboygan,HU12_13655,West Branch Sturgeon River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_374,Cheboygan County,Michigan,State_3,0407,040700,040700040105,04070004,MI,3639
39,1,39,12742,Carp (Trout) Lake,MI-MNH,5511,2005,Status & Trends,17-209,44N,06W,44,-6,27,Chippewa,2005-05-23,2005-08-31,-85.04177,46.18332,123110970,0,123110970,2004-07-27,01619429,Trout Lake,2.441,0,04070002000419,390,39004,244.0980479,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_159,Carp-Pine,HU12_13846,Ozark Creek-Carp River,EDU_17,Eastern Upper Peninsula,County_344,Chippewa County,Michigan,State_3,0407,040700,040700020101,04070002,MI,1269
40,1,40,44N06W2601,Frenchman Lake,MI-MNH,4509,2004,Status & Trends,17-211,44N,06W,44,-6,26,Chippewa,2004-05-24,2004-08-18,-85.01565,46.1836,123110915,0,123110915,2004-07-27,01619972,Frenchman Lake,0.75,0,04070002000417,390,39004,74.97176868,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_159,Carp-Pine,HU12_13846,Ozark Creek-Carp River,EDU_17,Eastern Upper Peninsula,County_344,Chippewa County,Michigan,State_3,0407,040700,040700020101,04070002,MI,3170
41,1,41,45N05W0601,Walker Lake,MI-MES,6452,2006,Status & Trends,17-265,45N,05W,45,-5,6,Chippewa,2006-08-29,2006-08-30,-84.9801,46.31749,86671673,0,86671673,2003-06-13,01622049,Walker Lake,0.063,0,04020202000729,390,39004,6.347179851,Isolated,HU4_24,Southern Lake Superior-Lake Superior,HU6_43,Southeastern Lake Superior,HU8_150,Tahquamenon,HU12_13882,Creek Number Eight-East Branch Tahquamenon River,EDU_17,Eastern Upper Peninsula,County_344,Chippewa County,Michigan,State_3,0402,040202,040202020401,04020202,MI,39600
42,1,42,45N05W0602,Whitmarsh Lake,MI-MES,4684,2004,Status & Trends,17-267,45N,05W,45,-5,6,Chippewa,2004-06-01,,-84.98454,46.3211,86671661,0,86671661,2003-06-13,01622151,Whitmarsh Lake,0.045,0,04020202000728,390,39004,4.540978897,Isolated,HU4_24,Southern Lake Superior-Lake Superior,HU6_43,Southeastern Lake Superior,HU8_150,Tahquamenon,HU12_13882,Creek Number Eight-East Branch Tahquamenon River,EDU_17,Eastern Upper Peninsula,County_344,Chippewa County,Michigan,State_3,0402,040202,040202020401,04020202,MI,58348
43,1,43,47N03W1401,Monocle Lake,MI-MES,7801,2009,Status & Trends,17-403,47N,03W,47,-3,14,Chippewa,2009-06-09,2009-07-26,-84.64593,46.47416,83826083,0,83826083,2011-08-23,00632570,Monocle Lake,0.694,0,04070001003169,390,39004,69.43196519,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_158,St. Marys,HU12_20094,Waiska Creek-Frontal Saint Marys River,EDU_17,Eastern Upper Peninsula,County_344,Chippewa County,Michigan,State_3,0407,040700,040700010201,04070001,MI,4056
44,1,44,47N03W1401,Monocle Lake,MI-MES,12105,2019,Status & Trends,17-403,47N,03W,47,-3,14,Chippewa,2019-08-13,2019-08-13,-84.64593,46.47416,83826083,0,83826083,2011-08-23,00632570,Monocle Lake,0.694,0,04070001003169,390,39004,69.43196519,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_158,St. Marys,HU12_20094,Waiska Creek-Frontal Saint Marys River,EDU_17,Eastern Upper Peninsula,County_344,Chippewa County,Michigan,State_3,0407,040700,040700010201,04070001,MI,4056
45,1,45,49N07W1801,Sheephead Lake,MI-MES,4163,2003,Status & Trends,17-469,49N,07W,49,-7,18,Chippewa,2003-07-07,2003-07-07,-85.22954,46.64138,109943538,0,109943538,2003-11-05,00637708,Sheephead Lake,2.069,0,04020201000788,390,39004,206.8777402,DR_LakeStream,HU4_24,Southern Lake Superior-Lake Superior,HU6_43,Southeastern Lake Superior,HU8_149,Betsy-Chocolay,HU12_14868,Headwaters Sheldrake River,EDU_17,Eastern Upper Peninsula,County_344,Chippewa County,Michigan,State_3,0402,040202,040202010701,04020201,MI,96696
