Area name,Qualifying Area Name,Summary Level,FIPS,State FIPS,County FIPS,NHGIS State Code,NHGIS County Code,NHGIS GIS Join Code,NHGIS GIS Join Code v2,Total Population,Year
Manistee County,"Manistee County, Michigan",50,261010,23,1010,260,1010,G2601010,2601010,19042,1960
Marquette County,"Marquette County, Michigan",50,261030,23,1030,260,1030,G2601030,2601030,56154,1960
Mason County,"Mason County, Michigan",50,261050,23,1050,260,1050,G2601050,2601050,21929,1960
Mecosta County,"Mecosta County, Michigan",50,261070,23,1070,260,1070,G2601070,2601070,21051,1960
Menominee County,"Menominee County, Michigan",50,261090,23,1090,260,1090,G2601090,2601090,24685,1960
Midland County,"Midland County, Michigan",50,261110,23,1110,260,1110,G2601110,2601110,51450,1960
Missaukee County,"Missaukee County, Michigan",50,261130,23,1130,260,1130,G2601130,2601130,6784,1960
Monroe County,"Monroe County, Michigan",50,261150,23,1150,260,1150,G2601150,2601150,101120,1960
Montcalm County,"Montcalm County, Michigan",50,261170,23,1170,260,1170,G2601170,2601170,35795,1960
Montmorency County,"Montmorency County, Michigan",50,261190,23,1190,260,1190,G2601190,2601190,4424,1960
Muskegon County,"Muskegon County, Michigan",50,261210,23,1210,260,1210,G2601210,2601210,149943,1960
Newaygo County,"Newaygo County, Michigan",50,261230,23,1230,260,1230,G2601230,2601230,24160,1960
Oakland County,"Oakland County, Michigan",50,261250,23,1250,260,1250,G2601250,2601250,690259,1960
Oceana County,"Oceana County, Michigan",50,261270,23,1270,260,1270,G2601270,2601270,16547,1960
Ogemaw County,"Ogemaw County, Michigan",50,261290,23,1290,260,1290,G2601290,2601290,9680,1960
Ontonagon County,"Ontonagon County, Michigan",50,261310,23,1310,260,1310,G2601310,2601310,10584,1960
Osceola County,"Osceola County, Michigan",50,261330,23,1330,260,1330,G2601330,2601330,13595,1960
Oscoda County,"Oscoda County, Michigan",50,261350,23,1350,260,1350,G2601350,2601350,3447,1960
Otsego County,"Otsego County, Michigan",50,261370,23,1370,260,1370,G2601370,2601370,7545,1960
Ottawa County,"Ottawa County, Michigan",50,261390,23,1390,260,1390,G2601390,2601390,98719,1960
Presque Isle County,"Presque Isle County, Michigan",50,261410,23,1410,260,1410,G2601410,2601410,13117,1960
Roscommon County,"Roscommon County, Michigan",50,261430,23,1430,260,1430,G2601430,2601430,7200,1960
Saginaw County,"Saginaw County, Michigan",50,261450,23,1450,260,1450,G2601450,2601450,190752,1960
St Clair County,"St Clair County, Michigan",50,261470,23,1470,260,1470,G2601470,2601470,107201,1960
St Joseph County,"St Joseph County, Michigan",50,261490,23,1490,260,1490,G2601490,2601490,42332,1960
Sanilac County,"Sanilac County, Michigan",50,261510,23,1510,260,1510,G2601510,2601510,32314,1960
Schoolcraft County,"Schoolcraft County, Michigan",50,261530,23,1530,260,1530,G2601530,2601530,8953,1960
Shiawassee County,"Shiawassee County, Michigan",50,261550,23,1550,260,1550,G2601550,2601550,53446,1960
Tuscola County,"Tuscola County, Michigan",50,261570,23,1570,260,1570,G2601570,2601570,43305,1960
Van Buren County,"Van Buren County, Michigan",50,261590,23,1590,260,1590,G2601590,2601590,48395,1960
Washtenaw County,"Washtenaw County, Michigan",50,261610,23,1610,260,1610,G2601610,2601610,172440,1960
Wayne County,"Wayne County, Michigan",50,261630,23,1630,260,1630,G2601630,2601630,2666297,1960
Wexford County,"Wexford County, Michigan",50,261650,23,1650,260,1650,G2601650,2601650,18466,1960
